wavelength,equi_mobility_dia,mac_total,ssa,fraction_of_coating
660,128.9,4.071665744,0.06,31.8
660,88.5,3.755426918,0.03,31
660,56.4,5.653753027,0,64.4
660,111.6,4.843027501,0.14,44.6
660,48.3,12.67716535,0.04,74.3
660,75,3.350568769,0.07,56.2
660,122,6.072271654,0.11,33.6
660,121.7,5.922297858,0.08,37.2
660,64.6,4.855421687,0.03,23.2
660,136.4,5.222968845,0.3,35.6
660,122.4,3.962936565,0.41,10
660,333.3,6.946804339,0.19,16.9
660,210.6,7.203107658,0.12,44.4
