wavelength,fractal_dimension,fraction_of_coating,primary_particle_size,number_of_primary_particles,vol_equi_radius_inner,vol_equi_radius_outer,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_total,mass_organics,mass_bc,mr_total_bc,mr_nonbc_bc,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660.0,1.5,0.0,15.0,46.0,53.74571807,53.74571807,167.9280506,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,650309.6794659008,650309.6794659008,0.0,1.5,1.1,9.75464519198851e-16,0.0,9.75464519198851e-16,1.0,0.0,0.4942705035209656,0.4602324664592743,0.03403802961111069,0.30282336473464966,9074.811484780776,0.004485411641940436,0.004176522872293606,0.0003088887020342154,0.06886518746614456,4.281573332594181,4.281573332594181,inf
660.0,1.5,0.0,15.0,52.0,55.98766735,55.98766735,178.7633389,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,735132.6808510387,735132.6808510387,0.0,1.5,1.1,1.102699021276558e-15,0.0,1.102699021276558e-15,1.0,0.0,0.5177618265151978,0.480485200881958,0.03727664798498154,0.3102366030216217,9847.695693260188,0.005098760909108242,0.004731672043400513,0.00036708908582087875,0.07199574261903763,4.290991423863616,4.290991423863616,inf
660.0,1.5,0.0,15.0,58.0,58.06314961,58.06314961,189.0014035,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,819955.6826116373,819955.6826116373,0.0,1.5,1.1,1.2299335239174558e-15,0.0,1.2299335239174558e-15,1.0,0.0,0.5408071875572205,0.5001188516616821,0.040688347071409225,0.317081093788147,10591.343495648303,0.005727874688334019,0.005296930546598056,0.0004309442601034508,0.07523632794618607,4.306680355964952,4.306680355964952,inf
660.0,1.5,0.0,15.0,62.0,59.36837415,59.36837415,195.5404067,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,876504.350563882,876504.350563882,0.0,1.5,1.1,1.3147565258458229e-15,0.0,1.3147565258458229e-15,1.0,0.0,0.5557456016540527,0.5127208232879639,0.043024804443120956,0.3211592435836792,11072.869559506229,0.006153698555384635,0.005677290796710267,0.0004764080474219424,0.07741816341876984,4.3181309125337055,4.3181309125337055,inf
660.0,1.5,0.0,15.0,68.0,61.22482653,61.22482653,204.9728303,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,961327.3520568763,961327.3520568763,0.0,1.5,1.1,1.4419910280853143e-15,0.0,1.4419910280853143e-15,1.0,0.0,0.5775866508483887,0.531014084815979,0.04657256230711937,0.3268063962459564,11776.19529374038,0.006801773199448063,0.0062533255665197865,0.0005484475890585297,0.08063302934169769,4.336591174789066,4.336591174789066,inf
660.0,1.5,0.0,15.0,72.0,62.40251469,62.40251469,211.0358926,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1017876.0196868959,1017876.0196868959,0.0,1.5,1.1,1.5268140295303437e-15,0.0,1.5268140295303437e-15,1.0,0.0,0.5916395783424377,0.5427405834197998,0.04889901354908943,0.3301495611667633,12233.593767135604,0.007237878258000784,0.006639667818496005,0.00059821066737322,0.08265000581741333,4.348707629139616,4.348707629139616,inf
660.0,1.5,0.0,15.0,78.0,64.08988023,64.08988023,219.8290078,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1102699.0216439047,1102699.0216439047,0.0,1.5,1.1,1.654048532465857e-15,0.0,1.654048532465857e-15,1.0,0.0,0.6118290424346924,0.5594070553779602,0.05242196470499039,0.33496877551078796,12904.131873315699,0.007895122647501737,0.007218662413460416,0.000676459945611497,0.08568073809146881,4.364238576904891,4.364238576904891,inf
660.0,1.5,0.0,15.0,84.0,65.6927871,65.6927871,228.2964658,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1187522.0231481397,1187522.0231481397,0.0,1.5,1.1,1.7812830347222092e-15,0.0,1.7812830347222092e-15,1.0,0.0,0.6300831437110901,0.5743398070335388,0.05574334040284157,0.33933594822883606,13557.675913572324,0.008542463061039774,0.007786712968024386,0.0007557501435216681,0.08846981823444366,4.371406910771326,4.371406910771326,inf
660.0,1.5,0.0,15.0,90.0,67.2210712,67.2210712,236.4723854,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1272345.0247971343,1272345.0247971343,0.0,1.5,1.1,1.9085175371957014e-15,0.0,1.9085175371957014e-15,1.0,0.0,0.6474061012268066,0.5883655548095703,0.059040531516075134,0.3438431918621063,14195.828057525074,0.00919046569640842,0.008352336251047005,0.0008381292338270927,0.09119551628828049,4.376347656369766,4.376347656369766,inf
660.0,1.5,0.0,15.0,100.0,69.6238325,69.6238325,249.5265445,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1413716.6938600698,1413716.6938600698,0.0,1.5,1.1,2.1205750407901045e-15,0.0,2.1205750407901045e-15,1.0,0.0,0.6701241731643677,0.6066036224365234,0.06352055072784424,0.35011205077171326,15228.80143656344,0.01020518797096141,0.009237846116785915,0.0009673418541754952,0.09478922188282013,4.356292957849767,4.356292957849767,inf
660.0,1.5,0.0,15.0,110.0,71.87129786,71.87129786,261.9551987,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1555088.3637903736,1555088.3637903736,0.0,1.5,1.1,2.33263254568556e-15,0.0,2.33263254568556e-15,1.0,0.0,0.6912642121315002,0.623950183391571,0.0673140361905098,0.3588472306728363,16227.844877863183,0.011217728404088296,0.0101253667875927,0.0010923617374024614,0.09737815707921982,4.34074659822465,4.34074659822465,inf
660.0,1.5,0.0,15.0,120.0,73.98636223,73.98636223,273.8414514,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1696460.0329443968,1696460.0329443968,0.0,1.5,1.1,2.544690049416595e-15,0.0,2.544690049416595e-15,1.0,0.0,0.7152886390686035,0.6441230177879333,0.07116563618183136,0.36927300691604614,17197.020996288244,0.01230083374446922,0.011076997061091635,0.0012238369396331643,0.09949219226837158,4.3529847824222,4.3529847824222,inf
660.0,1.5,0.0,15.0,130.0,75.98695529,75.98695529,285.2514509,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1837831.7026030188,1837831.7026030188,0.0,1.5,1.1,2.756747553904528e-15,0.0,2.756747553904528e-15,1.0,0.0,0.7416990399360657,0.6665929555892944,0.07510609179735184,0.3804519772529602,18139.61056462622,0.01345413174059738,0.012091736619512981,0.0013623952562350301,0.10126221925020218,4.386232828024754,4.386232828024754,inf
660.0,1.5,0.0,15.0,140.0,77.88741153,77.88741153,296.2388756,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,1979203.3719318316,1979203.3719318316,0.0,1.5,1.1,2.968805057897747e-15,0.0,2.968805057897747e-15,1.0,0.0,0.7648481726646423,0.6862006783485413,0.07864749431610107,0.39099663496017456,19058.311218586645,0.014576714509610048,0.01307782608637177,0.0014988884232382785,0.10282759368419647,4.405080775371746,4.405080775371746,inf
660.0,1.5,0.0,15.0,150.0,79.69939269,79.69939269,306.8479983,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,2120575.0412772107,2120575.0412772107,0.0,1.5,1.1,3.1808625619158155e-15,0.0,3.1808625619158155e-15,1.0,0.0,0.7842212915420532,0.702455461025238,0.08176583051681519,0.40033671259880066,19955.375157550756,0.015649430079260656,0.014017762256228899,0.0016316678230317593,0.10426372289657593,4.406905983321103,4.406905983321103,inf
660.0,1.5,0.0,15.0,170.0,83.09487385,83.09487385,327.073759,2.0,0.009519977738150888,2.0,0.0,1.0,0.0,2403318.3798819217,2403318.3798819217,0.0,1.5,1.1,3.604977569822882e-15,0.0,3.604977569822882e-15,1.0,0.0,0.8226699829101562,0.7340490818023682,0.08862088620662689,0.41763415932655334,21691.937196574025,0.017845305602793734,0.015922946581659797,0.0019223586978988837,0.10772349685430527,4.41693360728514,4.41693360728514,inf
